x_utm,y_utm,lon,lat,height_m,crown_radius_m,bucket
551898.38,4161695.09,-122.4120592,37.6008736,25.4,5.7,tall
552288.38,4161377.09,-122.4076639,37.5979853,25.4,11.9,tall
552220.38,4162517.09,-122.4083528,37.6082641,25.4,11.7,tall
552369.38,4161142.09,-122.4067632,37.5958627,25.3,10.0,tall
551810.38,4161911.09,-122.4130407,37.6028254,25.3,9.6,tall
552988.38,4162222.09,-122.3996733,37.6055613,25.3,8.0,tall
552792.38,4161184.09,-122.4019687,37.596217,25.3,9.3,tall
551363.38,4162575.09,-122.4180579,37.6088351,25.2,14.0,tall
551870.38,4161755.09,-122.4123721,37.6014159,25.2,13.9,tall
553153.38,4163083.09,-122.3977415,37.6133119,25.2,6.2,tall
551778.38,4161214.09,-122.4134526,37.5965451,25.2,8.5,tall
552974.38,4161582.09,-122.3998783,37.5997938,25.2,13.3,tall
552471.38,4161289.09,-122.4055972,37.5971818,25.1,8.0,tall
551273.38,4161102.09,-122.4191808,37.5955639,25.1,2.8,tall
552169.38,4161492.09,-122.4090037,37.5990286,25.1,12.9,tall
552816.38,4162867.09,-122.4015753,37.6113846,25.1,8.8,tall
553226.38,4162924.09,-122.396926,37.6118747,25.1,6.1,tall
552223.38,4161327.09,-122.4084038,37.5975384,25.0,9.2,tall
552177.38,4162278.09,-122.408857,37.6061124,25.0,14.0,tall
551222.38,4163031.09,-122.4196234,37.6129529,25.0,11.6,tall
552114.38,4161957.09,-122.4095936,37.6032228,25.0,9.5,tall
552394.38,4161147.09,-122.4064796,37.5959063,25.0,6.3,tall
553128.38,4163066.09,-122.398026,37.6131602,24.8,6.6,tall
551955.38,4161616.09,-122.4114191,37.6001583,24.8,11.6,tall
551562.38,4161299.09,-122.4158933,37.5973233,24.8,10.4,tall
551857.38,4161827.09,-122.4125143,37.6020656,24.8,14.0,tall
